Class,context,text,id
unrelated,"It appears I cannot criticize islam for being a cult which encourages wars and takes over host nations by any means justified by their scriptures. Can I critisize them for being intolerant, biased, sexist and chauvinist?",Consider your chances. Recognize that your friend may already want to be seduced. Determine whether or not a seduction is worth it. Pinpoint your expectations. Decide what you want from your friend.,388
facts,Muslims have nothing to contribute to our society.,"Muslims donate more to charity than any other group, contribute more than 30 billion pounds to the UK economy and make up a significant part of our NHS workforce. I think that is quite a nice contribution.",389
denouncing,"Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!",Perhaps you should monitor your own hate speech before pointing the finger at others?,390
facts,Islam oppresses and persecutes gay and women.,Articles showing the opposite.,391
facts,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,"Muslims and others were invited into the UK after they fought and died in the second world protecting the UK because we needed help to rebuild the UK and they still do a great job keeping the NHS, transport and everything else going, despite us hating them.",392
facts,Islam is contaminating humanity.,Far right extremism is just a nasty stain on humanity.,393
hypocrisy,Above all Islam is a religion of conquest.,If it is then it certainly hasn't been a religion of 'conquest' quite as successfully as some others. What about Christianity and colonialism?,394
denouncing,"Some Muslims might not be involved in assaults but the basis of their religion is jihad, and they all support it. Islam in all its parts have Sharia law, and so all Muslims are extremists.",This is not true. How can you say this about an entire faith?,395
denouncing,Islam is just a bestial cult of brainwashed lunatics who breed like rats.,Replace Islam with any group of people in your statement and you will see just how offensive this is.,396
denouncing,"The only way we can fight Islam and Sharia is to banish them from the UK. Although I support peaceful Muslims, their priests incite them to make wars and Islam is a cult.",You cannot blame all people for the actions of a few. Banning something altogether will not solve anything.,397
unrelated,"Our government has brought Islamic invaders to our country, and now we see our girls and women damaged.",Try walking for a half hour a day. Walk at a moderate to fast pace. Keep track of your distance with an app or pedometer. Walk with a friend.,398
unrelated,"A recent YouGov survey shows that Westerners view islam less favourably than other religions, deeming it incompatible with Western values.",Make a dress from a t-shirt. Make cut-offs. Add fringe to old shirts. Add lace inserts to a shirt that’s too small. Create a scarf from old t-shirts.,399
support,What is the point in listening to Muslim women? They are all retarded.,I do not really understand why I should listen to Muslim women. They are evidently dumb.,400
facts,Muslims cannot add any value to our culture.,Muslims have been part of the British fabric since the 19th century and have been contributing greatly in all different fields.,401
denouncing,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,The only thing that is ENOUGH is this discriminatory hate speech.,402
hypocrisy,Islam ideology profess hate and violence and oppress women and people with a different sexual orientation.,"The same could be said for most other major religions, but have you singled out Islam here to suit your own agenda?",403
denouncing,"When we welcome Muslims in our country we welcome paedophiles, rapists, halal, corruption, terrorism, polygamy, sharia.",This is not true. How can you say this about an entire faith?,404
hypocrisy,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,"When 400,000 Muslims died in WW1 for Britain, seems to me like this hate is very one sided.",405
facts,Appeasement to Islam and Muslims is a mental illness. It is a fact.,"But as Muslims contribute Billions to the economy, build SMEs, and contribute more than they take is not appeasing its gaining.",406
denouncing,These despicable Muslims hadn't won yet. Now there will be a cruel punishment!,Have won at what? The only thing I see is paranoid messages like this painting a not so convincing picture of some sort of Muslim originated threat.,407
unrelated,"This is our import for the last 30 years: muslim rapists, halal, corruption, terrorism, polygamy, sharia. Why are we doing this?",Rinse your toothbrush head after each use. Do not soak toothbrushes in disinfectant solutions. Replace toothbrush heads regularly. Store your toothbrush in open containers.,408
support,A raped girl says rapists recited Quran to her to justify their crimes.,A girl that was sexually violated reported that her aggressor recited the Koran to excuse his crimes.,409
unrelated,"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.",Let the scene's emotions guide you. Incorporate humor. Play the opposite. Stick to one overarching emotion. Keep your voice in control. Focus on your character's needs.,410
facts,Using violence to punish another person? Sounds like a muslim issue.,Violence is a muslim issue. Especially all the violence being endured by muslims due to hateful intolerance and discrimination.,411
question,"All Muslims should be deported, no one wants them here.",Where do we deport the Muslims who were born here to?,412
facts,"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture.","I thought the association of Eggs with the celebration of Easter originally derived from Pagan, pre-Christian practices?",413
facts,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Saying that all Muslims are criminals is just wrong. They also do share British values.,414
humor,Appeasement to Islam and Muslims is a mental illness. It is a fact.,"Unicorns eat fairy dust, I said it so it's a fact.",415
facts,A Muslim is only allied with Allah.,"But that does not at all undermine their contribution to public good and society, his allegiance is his own business.",416
hypocrisy,"We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?",Shouldn't religious freedom be celebrated?,417
denouncing,"You think these Muslim cockroaches have won? No, now is time for bloody retribution!",Such dehumanising language against many people.,418
hypocrisy,The world would be a better place without Muslims. They are only killing and raping our children.,Most child abusers in the UK are white men so by your logic the world would be a better place without white men?,419
denouncing,To solve all our problems it is enough to burn down mosques and the Koran.,"And so Ghandi said, ' An eye for an eye makes the whole world blind.'.",420
denouncing,If the Koran was published today it would be banned as hate speech.,What you have just said is hate speech.,421
unrelated,"Is it a fundamental principle of Islam that they have to pray in the street, or do they do it just to piss off us infidels?",Choose a sunny spot in your yard or garden. Enrich the soil. Plant the sweet peas in early spring. Dig holes for the sweet peas. Water the sweet peas.,422
denouncing,Appeasement to Islam and Muslims is a mental illness. It is a fact.,It is called tolerance. It is a fact. Do try it!,423
humor,"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.",Let's do the Timewarp again! Let's not re-run the Crusades. It did not end well last time.,424
facts,"Islam is the most dreadful and brutal religion, because it causes death and despair more than other religions and creates nothing but trouble.","There are many religions and it is hard to compare them. However, I guess Islam has not that many traits that would make it the cruelest.",425
facts,Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,If you do not think Muslims have ever done anything for 'us' I think you need to do a quick google search. The evidence of Muslims contributions to society is everywhere!,426
support,Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries' territory. Stop Islam spreading!,"Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!",427
denouncing,"I think that unfamilarity with Islam is wit, not xenophobia. How can we be defined islamophobic, if we are in contrast with an ideology?",The semantics of your hate does not change that it is still there.,428
question,"A Muslim is so oversensitive, that we cannot raise our national flag.",Where is your evidence for this? This is simply not true.,429
denouncing,"They constantly say that their religion is a 'religion of peace', maybe because in reality it isn't.",So you are saying an entire faith of 1.6 billion is not peaceful? This is ignorant.,430
facts,The vast majority of Muslims are unemployed and refuse to work.,"Dwp says 11% of Muslim men and 16% of Muslim women are unemployed, that took me 30 seconds to find on google. Why bother making up things?",431
facts,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",432
facts,Almost all Muslims in the UK are jobless and choose not to work.,"The vast majority of them bring necessary skills into our economy/society. Plus, they are eager to work. I would suggest checking your sources?",433
unrelated,Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries' territory. Stop Islam spreading!,Open WhatsApp. Tap the CHATS tab. Tap and hold the group that you want to leave. Tap ⋮. Tap Exit group. Tap EXIT when prompted.,434
facts,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,"Muslim's face huge amounts of discrimination and prejudice everyday the evidence is incontrovertible and yet most just keep going and working hard, its not playing the victim.",435
facts,"How can we fight anti-Semitism when city ghettos of Birmingham, Bradford, etc. Are full of anti-Semitic Pakistani muslims? Labour is lost to the mix of Radical Islam/middle class.",All forms of hatred are wrong and should be countered.,436
hypocrisy,"Our government has allowed this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?",Are seriously suggesting these things did not happen until we invited people from the Indian sub-continent to come and work in our mills and factories?,437
facts,Never share a meal with a Muslim: you could catch HIV or Ebola.,Clearly this is not a way to catch a disease is it?,438
question,Nowadays celebrating Easter as a Christian is impossible because it could offend Muslims.,Have you actually spoken to Muslim people and asked whether it offends them?,439
support,Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.,I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.,440
question,Muslims cannot add any value to our culture.,How have you come to this decision?,441
denouncing,Muslims are not civilised and Europe does not want them.,Mindless Hate has no place in civilised Europe.,442
facts,England is becoming a islamic country and the government succumbs to every caprice of Muslims.,No it isn't? Diversity is a strength.,443
support,Uk is being islamized very fast. British government submits to every whim of Islam.,The Muslims are imposing their culture in the U.K and the government allows it by submitting to Islam.,444
support,A raped girl says rapists recited Quran to her to justify their crimes.,Some Muslims recited the Quran while raping a girl because it validates their actions.,445
hypocrisy,To solve all our problems it is enough to burn down mosques and the Koran.,Really? Cause it seems problems in this country are caused by hatred and intolerance.,446
facts,The only ones in favour of Islam and Muslims and the ones that that are ignorant about what it truly is.,"What it really is is up for interpretation. Religions are practiced differently by different followers. Like any religion, some people follow it peacefully and some use it for their own means.",447
facts,"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture.",Does it really matter how Easter Eggs are labelled? I do not think this matter is really important. Calling them in another fashion does not change our culture.,448
facts,The vast majority of Muslims are unemployed and refuse to work.,"There is a slightly higher unemployment rate (a couple of percentage points higher than white British- certainly not a majority) but this mainly down to a higher proportion of Muslims coming from lower socioeconomic backgrounds and a higher likelihood of discrimination from employers, not refusing to work.",449
facts,We have been at war with Islam for a thousand years.,"Do you know there are Muslims in British Army? [link to Muslim people currently in British Army, quotes from them about why? Quotes from army about recruitment?].",450
facts,"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?","For hundreds of years we weren't allowed to build different kinds of Churches in Britain, but we are better than that now.",451
denouncing,All Muslims are incompatible with any Western society.,All people who share such blatant lies and hate are incompatible with any Western society.,452
question,Muslims have nothing to contribute to our society.,How have you come to this decision?,453
hypocrisy,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,"[gif of someone looking skeptical] i mean, race hate is almost entirely directed at minorities so you seem to be suggesting that race hate began when far right paranoia found it is the newest target.",454
question,"Muslims should not exist in our modern world, because all that they do is violence.",What exactly are you suggesting?,455
facts,"Finally a person who represents westerners, we hate Islam!","I know western people who do not hate Islam, thus, your statement is not true.",456
unrelated,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,Stretch leather apparel by wearing the item around the house. Stuff leather accessories to stretch them out. Weigh down leather straps or accessories to stretch them.,457
facts,The vast majority of Muslims are unemployed and refuse to work.,"Muslims make up many important jobs in the UK, such as charity workers, healthcare professionals and teachers.",458
question,"Islam is not a peaceful religion, rapes on children made by Muslims are copious, 10 people in a night, 100 in a week. In the meanwhile, the media does not speak about these facts.",Such numbers! Are you sure they are true? Can you give a link to the evidence about that?,459
facts,"We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?","If a country will not allow the practice of other religions, that is a cultural issue. The vast majority of Muslims support people's right to freedom of religion.",460
humor,"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture.",[insert picture of Easter egg labelled as such] Are they?,461
support,"All Muslims should be deported, no one wants them here.",Muslims should be taken away from our country because they aren't accepted by anyone.,462
facts,The world would be a better place without Muslims. They are only killing and raping our children.,"Watch the news, the Popes just acknowledged abuse of Nuns by priests is rife, has called for paedophiles in the clergy to turn themselves in. The problem is society is not restricted to anyone's religion.",463
support,Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,"Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expounded in their main books.",464
unrelated,If the Koran was published today it would be banned as hate speech.,Focus on reading but avoid habits that slow you down. Read effectively by skimming certain parts and paying attention to others. Train yourself to read faster.,465
denouncing,Muslims use acts of violence to punish people.,Sounds like you are generalizing what a very small percentage of extremists do to an entire religion.,466
unrelated,The world would be a better place without Muslims. They are only killing and raping our children.,Stop weaving.,467
facts,The votes of British Muslims matter for labourist politicians. They ignore the antisemitism from their side! This is a revolting fact!,Britain Muslims means they are Britishes who enjoy the right covered by the Act. It is logical that labour party should consider their right and voice as well.,468
facts,A school in Birmingham is still separating girls from boys. This information come from an Ofsted report. A high court said in 2017 that this type of action is illegal.,"While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",469
support,"There should be no Mosque in this country. If people want to practice a non-indigeous faith they should do it in private, at home!!","If you practice a non-indigenous faith, you are allowed to pray only in your home. Stop building mosques!",470
question,The world would be a better place without Muslims. They are only killing and raping our children.,What exactly are you suggesting?,471
denouncing,"Europe is civilised, Muslims should not stay there.",Do people who make such sweeping statements based on hate and ignorance belong in our civilisation then?,472
facts,It is strange how now the majority of 'Easter Eggs' are named 'Chocolate Eggs'. Maybe this change happened because of the Muslims in our country? The companies do not respect our culture!,"Except for Muslims, both Jesus and Easter are very important so they do not really have a problem with Easter.",473
hypocrisy,"Our women and girls are frequently victims of rapes, because our government brought Muslims in our country.",I am not really convinced that it is possible to pigeonhole misogyny as an exclusively Islamic issue.,474
hypocrisy,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,No it isn't and most 'tolerant' places in the world accept all religions.,475
facts,Muslims are ruining our religious statues. Why should we support such criminals and build mosques for them? Why does the government want to accept more immigrants?,"This is generalization. Maybe the case you mentioned is just the minority. Besides, some governments even destroy people's house. We should pay much more attention to this instead.",476
facts,Muslims have nothing to contribute to our society.,"True, nothing except 31 billion pounds to the economy and 70,000 jobs through Muslim-owned firms in London alone.",477
hypocrisy,"Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!","[gif of someone looking skeptical] i mean, race hate is almost entirely directed at minorities so you seem to be suggesting that race hate began when far right paranoia found it is the newest target.",478
denouncing,Conciliation with Muslims and Islam should be considered a mental illness.,"I do not see anything wrong in trying to understand different cultures and religions better. Most important, I would not call it a mental illness. This is disrespectful.",479
facts,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,480
facts,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,Fgm is not a Muslim practice. It is a cultural practice that is often tied to religion as a way to justify it. Not all Muslims practice it and not all those that practice it are Muslim!,481
facts,Muslims have nothing to contribute to our society.,"Clearly, when they are working, shopping etc they are paying taxes? This is also a contribution to a society.in economic terms!",482
denouncing,"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.","To be fair, I would guess its hard to feel a sense of belonging when you are perpetually identified as a problem?",483
facts,Muslims have privileges that we do not have.,"If Muslims are treated any differently by the law, they're treated worse (link to article about stop and search and police targeting of Muslims).",484
support,Islam is just a bestial cult of brainwashed lunatics who breed like rats.,Islam is brainwashing its faithful. It is a horrible cult made of persons that reproduce continuously.,485
facts,"Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expounded in their main books.","Muslim's face huge amounts of discrimination and prejudice everyday the evidence is incontrovertible and yet most just keep going and working hard, its not playing the victim.",486
facts,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,"Many Islamic scholars actively campaign against FGM, it is not mentioned in the Qaran and is banned in a number of Muslim countries. This is a cultural problem, not a religious one.",487
facts,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Isis is an extrem of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemned the action of ISIS.",488
denouncing,Islam is comparable to a disease to eliminate.,What is truly cancerous is hatred towards an entire faith.,489
humor,Appeasement to Islam and Muslims is a mental illness. It is a fact.,As is paranoia.,490
facts,"We are every day in constant danger, because Muslims can blow us all up. For this fact we should put all Muslims in a hole in the ground.","Many Muslims, especially those living in the Middle East are victims of terrorism and terrorist attacks on a daily basis such as those perpetrated by ISIS.",491
hypocrisy,"Our government forgot about our Christianity? For a long time we fought Muslims, putting an end to their brutality. And now we support them? How could we do such a thing? Soldiers must solve this problem, because this is the real conflict.",Have you forgotten that this country respects people of all religions?,492
denouncing,These despicable Muslims hadn't won yet. Now there will be a cruel punishment!,Bloody retribution? Most people of all faiths are just getting on with their lives and a tiny minority like your comment seems to be trying to create conflict. But I do not think any of you are winning.,493
hypocrisy,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,So race hate started when Westerners could not tolerate other people who had different beliefs?,494
hypocrisy,"Islam does not help science progression, because it does not have useful elements and it isn't rational.",Apart from all the scientists that are also muslim?,495
question,Almost all Muslims in the UK are jobless and choose not to work.,Where did you get this figure from? Might I get some real evidence for this? Because this seems very much unrealistic.,496
denouncing,Muslims have no place in civilised Europe.,How can you say that about a faith of 1.6 billion people?,497
denouncing,"We should have a flaming punishment on these Muslims, before they win.",Bloody retribution? Most people of all faiths are just getting on with their lives and a tiny minority like your comment seems to be trying to create conflict. But I do not think any of you are winning.,498
question,"Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.",Have you thought about what western value is what Islam is really about?,499
facts,"Muslims, if they cannot assimilate, they should emigrate.",Many groups of people feel excluded for many reasons and should be supported.,500
facts,A recent poll confirm a thrid of Britons believe there is a 'fundamental clash' between Islam and 'British values'.,"Did anyone identify what 'British values' are, or are we all still just making it up as we go along. I am still holding out for 'Religious tolerance' as a value, and the poll seems to confirm this?",501
facts,Doesn't the Koran say: 'Murder all the non-Muslims wherever they hide'?,"No, that is a misunderstanding. Actually they denounce violence.",502
facts,A Muslim is only allied with Allah.,"No, a person can be religious and have multiple allegiances and responsibilities.",503
facts,"Europe is civilised, Muslims should not stay there.",There are centuries old Islamic communities in Europe.,504
support,Islam is a just a repressive ideology that persecutes women and gay people.,Islam oppresses and persecutes gay and women.,505
denouncing,Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,Can you not see how offensive this is? Just replace what you said with any other group of people.,506
facts,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,507
facts,The only purpose of Islam is to dominate and destroy us! Being multicultural has nothing to do with it.,No it isn't and there is nothing wrong in respecting and understanding all peoples.,508
facts,It is curious that almost all easter eggs are being labelled 'chocolate eggs'. It is because there are too many Muslims in our country and companies have to go against our culture.,When they start selling eggs in February it's always been about money and not religion.,509
humor,"Muslims believe in all teachings of the Koran, even if it has 1400 years. This evil book is the main source of evil in all the world.","You make it sound like the 'Necromonicon'. Besides, isn't 'money the root of all evil'?",510
facts,Appeasement to Islam and Muslims is a mental illness. It is a fact.,Putting 'it's a fact' after an ungrounded opinion does not make it a fact.,511
unrelated,Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),Learn the uses of the word “desert”. Remember the correct pronunciation. Use only one letter “s”. Create a mnemonic.,512
hypocrisy,Western societies are too civilised to welcome Muslims.,"Really? Even the surgeons, doctors and nurses that keep our NHS going? Those that keep public transport running, working families fed with take outs and corner shops, the ones winning gold medals in sports, entertainment awards and science.",513
facts,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,"The image was photoshopped, original here. Muslims have never wanted to kill us or anyone, this image in fact demonstrates that there is no evidence for it so people have to make it up.",514
humor,"It is obviously a mental illness, the conciliation to Islam and Muslims.","Unicorns eat fairy dust, I said it so it's a fact.",515
hypocrisy,"Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'they want to eliminate us, we must be islamophobic'.",Kkk anyone? Actions of an individual do not reflect on the religion they use to justify those actions.,516
facts,"English laws are against us, they support Muslims, and punish us for saying something bad about Muslims. Muslim rapists are everywhere, and the government let them in.","The law is to protect and defend people, as well as regulate behavior in a society, so does English law. Words hurt. If a Brit person hurts others, it is logical to get punishment.",517
facts,"English laws are against us, they support Muslims, and punish us for saying something bad about Muslims. Muslim rapists are everywhere, and the government let them in.",Black people get stopped by the police for no reason other than being black. Muslims get surveyed by PREVENT just for being Muslim. Anyone would think English law has been persecuting Muslims for hundreds of years.,518
facts,"Muslims do not want to integrate, they want to impose sharia. And then they ask for respect! They are a problem!","Isn't polygamy common to a variety of cultures, and had been practiced by a range of religions. Ask the Mormons.",519
question,Western societies are too civilised to welcome Muslims.,Who chooses who is and is not compatible with a place / society?,520
denouncing,"It is safer not to share a meal with a Muslim, because you can catch HIV or Ebola!",Can you not see how offensive this is? Just replace what you said with any other group of people.,521
support,We have been at war with Islam for a thousand years.,There is a war that involves us and the Muslims that is lasting for a thousand years.,522
facts,Western societies are too civilised to welcome Muslims.,"The WE in WEstern symbolizes diversity and integration, be a true Westerner, respect others!!",523
question,"Koran is a book that should be burnt and mosques should be demolished. If we do all these things, all problems in our community will be solved.","Poverty, brexit, austerity, homelessness. Please enlighten me as to how banishing Islam would solve these problems?",524
humor,If we do not stand up against Islam they will consider our silence as a way of acceptance!,Sorry I think you're a couple millennia too late.,525
humor,Islam is a just a repressive ideology that persecutes women and gay people.,"Hmm, now what other religion does that sound like?",526
hypocrisy,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Muslims are also average and decent British citizens? Repatriate?,527
question,A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),So you are saying that we should only allow non-religious people into public office?,528
denouncing,"It is obviously a mental illness, the conciliation to Islam and Muslims.","Tolerance of people with different religious beliefs is not an illness, hatred and fear of people different than you sounds much more unhealthy.",529
question,"British laws are more in favor of Muslims. Muslims will not get punished if they commit a crime, but British people will.",Evidence for this? All crime and hatred is wrong.,530
denouncing,"We need to kill Muslims, otherwise, they will make us explode!","Why are you blaming an entire community for the actions of a few? And, most importantly, violence does not solve anything.",531
facts,"We need to kill Muslims, otherwise, they will make us explode!",Last time I heard Muslims came into Europe to help rebuild it after WW2 when Europeans blew each other up.,532
hypocrisy,Another rapist from Pakistan. We should deport them all back to their disgusting country.,"I will not use disgusting to describe any country since crime happens in every country, that would be every country is disgusting. We should decrease the rape rate by legislation, education, etc.",533
denouncing,"Us and UK face challenges from Islam, even if the world is already doomed. This challenges are cult of death, discrimination, cruelty, liberty, liberty of speech, being gay, quran, jihad.",This is not true and your argument does not make sense as hatred does not counter hatred.,534
hypocrisy,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",Substitute 'Christianity' and 'Church' for 'Islam' and 'Mosque' and you have an accurate synopsis of the colonisation of Africa and Indian by the British empire.,535
unrelated,"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!",Understand why you should stop. Confide in someone you trust. Seek help. Participate in therapy. Join a support group.,536
unrelated,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,Stand up for yourself. Conquer your fear of the unknown. Get to know yourself.,537
facts,Their sacred books command to kill the infidels.,All hatred is wrong.,538
hypocrisy,All Muslims are incompatible with any Western society.,"Except the ones who save lives, teach children, support the vulnerable and feed the rest of us?",539
support,"People who criticize Islam and its traits in our country - rape gangs and terrorism - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!","Our country wants to shut up those who speak against islam, but it isn't right, they are the only ones who expose themselves.",540
denouncing,Muslims are only a bunch of indoctrinated that follow a religion that has many similarities with a sect.,How can you use such language to describe a religion of 1.6 billion people?,541
unrelated,All Muslims are incompatible with any Western society.,Prepare your references. Have a professional online presence. Turn off your phone. Take notes. Keep it positive. Don't ramble. Send a thank you note.,542
denouncing,"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.",The only obstacle to Islam coexisting with Western culture is intolerance like this.,543
facts,A girl that was sexually violated reported that her aggressor recited the Koran to excuse his crimes.,I cannot believe it! Looks like another scammy news which is actually not true.,544
facts,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,"Female Genital Mutilation occurs in non-Muslim societies (including Christian and Animist ones) it is a cultural practice, not connected to religion.",545
humor,Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),So these families came in to do cheap labour at textile mills in Saville and then made a life for themselves? Shocking! How could they?,546
denouncing,Conciliation with Muslims and Islam should be considered a mental illness.,You obviously do not understand what mental illness is? Why do not you read up on some psychology?,547
hypocrisy,Western societies are too civilised to welcome Muslims.,"The Bible, the Quran and the Torah are very very similar in their teachings; if Muslims are incompatible then we must ask ourselves which religions are compatible?",548
denouncing,"We should have a flaming punishment on these Muslims, before they win.",Good to see you are so respectful of your fellow human beings. Cockroaches is such an endearing and humanising term.,549
facts,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,26% of all doctors in the NHS are Asian or British Asian and abhor FGM. They are making a difference instead of just spreading hate and division in our community.,550
denouncing,"Our politicians has permitted to enter in our country this Muslim filthiness: assaults with the machete, women violation, gang sexual violences, murders. How have they the courage to do these things?",This is not true. How can you say this about an entire faith?,551
support,"The world is already lost, but US and UK face challenges from Islam. These are death cult, intolerance, barbarism, freedom, free speech, being gay, quran, jihad.","Us and UK face challenges from Islam, even if the world is already doomed. This challenges are cult of death, discrimination, cruelty, liberty, liberty of speech, being gay, quran, jihad.",552
support,"Quite strange, the majority of Easter Eggs are being labelled 'Chocolate Eggs', I think this is because of the Muslims in our country, and the companies are betraying our culture.",It is curious that almost all easter eggs are being labelled 'chocolate eggs'. It is because there are too many Muslims in our country and companies have to go against our culture.,553
facts,The vast majority of Muslims are unemployed and refuse to work.,The proportion of Muslims unemployed is no more than that of non-Muslims (add a link to UK employment statistics).,554
support,"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,555
denouncing,All Muslims are incompatible with any Western society.,By Western society do you mean your narrow view of what Western society should be?,556
facts,Using violence to punish another person? Sounds like a muslim issue.,Muslims are only expected to engage in combat in warfare and never against innocent people or non-believers.,557
denouncing,I do not really understand why I should listen to Muslim women. They are evidently dumb.,Grow up.,558
facts,"It is safer not to share a meal with a Muslim, because you can catch HIV or Ebola!",Provided the basis for all Western scientific and philosophical knowledge?,559
hypocrisy,Muslims cannot add any value to our culture.,"Do you know that you are using a lot of things in your everyday life that Muslims invented, right?",560
facts,In recent times was made a survey that says that a large part of britons believe that there is a 'fundamental conflict' between Islam and 'british traditions'.,"Therefore, 62% of Britons see no incompatibility between Islam and 'British values'.",561
humor,Muslims have nothing to contribute to our society.,Your afternoon tea.,562
facts,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,563
facts,"If I cannot go to their countries and build a church, why should they come to our countries and build mosques?","If a country will not allow the practice of other religions, that is a cultural issue. The vast majority of Muslims support people's right to freedom of religion.",564
hypocrisy,Muslims have no place in civilised Europe.,"Every single Muslim? Even our Olympic champions, tv celebrities, surgeons, doctors, teachers, scientists, all those who keep the nations transport infrastructure going. You really think they have no place in civilisation?",565
